,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Houston Texans,16,34,24,70.6%,38,38,100.0%
2,Dallas Cowboys,16,38,27,71.1%,35,34,97.1%
3,Cincinnati Bengals,16,31,23,74.2%,52,51,98.1%
4,Arizona Cardinals,16,29,22,75.9%,49,49,100.0%
5,Carolina Panthers,16,29,24,82.8%,33,32,97.0%
6,Chicago Bears,16,44,37,84.1%,34,34,100.0%
7,Washington Redskins,16,34,31,91.2%,36,36,100.0%
8,Baltimore Ravens,16,33,29,87.9%,32,31,96.9%
9,Detroit Lions,16,33,29,87.9%,49,48,98.0%
10,Jacksonville Jaguars,16,34,23,67.6%,32,32,100.0%
11,San Diego Chargers,16,31,21,67.7%,42,42,100.0%
12,St. Louis Rams,16,30,26,86.7%,39,39,100.0%
13,Cleveland Browns,16,37,28,75.7%,32,32,100.0%
14,New York Giants,16,31,21,67.7%,24,24,100.0%
15,Indianapolis Colts,16,26,21,80.8%,34,32,94.1%
16,New England Patriots,16,34,20,58.8%,41,40,97.6%
17,Tennessee Titans,16,21,14,66.7%,36,36,100.0%
18,Seattle Seahawks,16,26,22,84.6%,39,39,100.0%
19,New York Jets,16,31,26,83.9%,35,34,97.1%
20,Tampa Bay Buccaneers,16,23,17,73.9%,19,19,100.0%
21,New Orleans Saints,16,28,23,82.1%,40,39,97.5%
22,Minnesota Vikings,16,28,21,75.0%,46,45,97.8%
23,Buffalo Bills,16,26,19,73.1%,46,44,95.7%
24,Miami Dolphins,16,30,28,93.3%,27,27,100.0%
25,San Francisco 49ers,16,30,22,73.3%,39,39,100.0%
26,Philadelphia Eagles,16,21,17,81.0%,24,24,100.0%
27,Pittsburgh Steelers,16,26,20,76.9%,38,37,97.4%
28,Green Bay Packers,16,22,16,72.7%,37,36,97.3%
29,Denver Broncos,16,32,25,78.1%,34,33,97.1%
30,Kansas City Chiefs,16,32,26,81.3%,39,39,100.0%
31,Oakland Raiders,16,23,17,73.9%,31,31,100.0%
32,Atlanta Falcons,16,24,18,75.0%,33,32,97.0%
,Avg Team,,29.7,23.0,77.5%,36.4,35.9,98.5%
,League Total,,951,737,77.5%,1165,1148,98.5%
,Avg Tm/G,,1.9,1.4,77.5%,2.3,2.2,98.5%
