,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Indianapolis Colts,16,52,2220,42.7,
2,Kansas City Chiefs,16,64,2701,42.2,
3,New England Patriots,16,69,2864,41.5,
4,Minnesota Vikings,16,59,2490,42.2,
5,Green Bay Packers,16,81,3175,39.2,
6,Pittsburgh Steelers,16,79,3373,42.7,
7,St. Louis Rams,16,71,3018,42.5,
8,San Diego Chargers,16,64,2714,42.4,
9,Denver Broncos,16,95,4247,44.7,
10,Oakland Raiders,16,68,2808,41.3,
11,Philadelphia Eagles,16,89,3782,42.5,
12,Houston Texans,16,69,2877,41.7,
13,Atlanta Falcons,16,80,3464,43.3,
14,Dallas Cowboys,16,78,3260,41.8,
15,Buffalo Bills,16,79,3215,40.7,
16,New York Giants,16,77,2995,38.9,
17,Tennessee Titans,16,74,3226,43.6,
18,New York Jets,16,89,3569,40.1,
19,Carolina Panthers,16,64,2630,41.1,
20,Seattle Seahawks,16,74,3093,41.8,
21,Jacksonville Jaguars,16,74,3263,44.1,
22,Tampa Bay Buccaneers,16,87,3863,44.4,
23,Cleveland Browns,16,85,3536,41.6,
24,Cincinnati Bengals,16,79,3310,41.9,
25,New Orleans Saints,16,71,2897,40.8,
26,Detroit Lions,16,84,3654,43.5,
27,San Francisco 49ers,16,80,3272,40.9,
28,Baltimore Ravens,16,94,3769,40.1,
29,Miami Dolphins,16,102,4182,41.0,
30,Arizona Cardinals,16,97,4064,41.9,
31,Washington Redskins,16,104,4181,40.2,
32,Chicago Bears,16,92,3717,40.4,
,Avg Team,,78.9,3309.2,42.0,0.3
,League Total,,2524,105893,42.0,11
,Avg Tm/G,,4.9,206.8,42.0,0.0
