,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,New England Patriots,16,187,63,33.7%,20,11,55.0%,41,24,58.5%
2,Kansas City Chiefs,16,208,65,31.3%,11,2,18.2%,43,16,37.2%
3,Green Bay Packers,16,209,69,33.0%,24,9,37.5%,43,21,48.8%
4,Chicago Bears,16,223,73,32.7%,13,8,61.5%,52,27,51.9%
5,New York Giants,16,211,73,34.6%,16,10,62.5%,42,25,59.5%
6,Washington Redskins,16,218,78,35.8%,17,10,58.8%,49,24,49.0%
7,St. Louis Rams,16,201,78,38.8%,10,6,60.0%,57,33,57.9%
8,Atlanta Falcons,16,210,78,37.1%,21,11,52.4%,47,25,53.2%
9,Cleveland Browns,16,215,79,36.7%,25,11,44.0%,56,28,50.0%
10,Jacksonville Jaguars,16,201,80,39.8%,23,11,47.8%,45,25,55.6%
11,Philadelphia Eagles,16,218,81,37.2%,13,3,23.1%,55,20,36.4%
12,Oakland Raiders,16,210,82,39.0%,11,6,54.5%,55,28,50.9%
13,Baltimore Ravens,16,224,82,36.6%,13,7,53.8%,52,22,42.3%
14,Houston Texans,16,198,83,41.9%,16,8,50.0%,62,33,53.2%
15,San Diego Chargers,16,211,83,39.3%,26,9,34.6%,37,20,54.1%
16,Dallas Cowboys,16,216,85,39.4%,18,10,55.6%,44,22,50.0%
17,New Orleans Saints,16,206,86,41.7%,19,7,36.8%,47,25,53.2%
18,Cincinnati Bengals,16,201,86,42.8%,17,9,52.9%,56,27,48.2%
19,Arizona Cardinals,16,218,87,39.9%,15,7,46.7%,53,27,50.9%
20,Pittsburgh Steelers,16,215,87,40.5%,19,6,31.6%,38,21,55.3%
21,Seattle Seahawks,16,232,88,37.9%,17,5,29.4%,41,21,51.2%
22,New York Jets,16,211,89,42.2%,10,8,80.0%,40,23,57.5%
23,Denver Broncos,16,213,91,42.7%,13,10,76.9%,54,31,57.4%
24,Tampa Bay Buccaneers,16,224,92,41.1%,16,9,56.3%,35,21,60.0%
25,Minnesota Vikings,16,234,94,40.2%,18,7,38.9%,47,22,46.8%
26,Indianapolis Colts,16,208,94,45.2%,25,14,56.0%,46,25,54.3%
27,Carolina Panthers,16,226,96,42.5%,14,7,50.0%,46,24,52.2%
28,Tennessee Titans,16,230,97,42.2%,16,8,50.0%,40,24,60.0%
29,Detroit Lions,16,213,97,45.5%,12,9,75.0%,64,41,64.1%
30,San Francisco 49ers,16,241,97,40.2%,13,7,53.8%,53,25,47.2%
31,Miami Dolphins,16,208,98,47.1%,10,6,60.0%,52,34,65.4%
32,Buffalo Bills,16,224,101,45.1%,22,10,45.5%,56,25,44.6%
,League Total,,,,,,,,,,
