Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
Dallas Cowboys,11,5,.688,361,250,111,6.9
Philadelphia Eagles,11,5,.688,429,337,92,5.8
New York Giants,8,8,.500,402,427,-25,-1.6
Washington Redskins,4,12,.250,266,336,-70,-4.4
Minnesota Vikings,12,4,.750,470,312,158,9.9
Green Bay Packers,11,5,.688,461,297,164,10.3
Chicago Bears,7,9,.438,327,375,-48,-3.0
Detroit Lions,2,14,.125,262,494,-232,-14.5
New Orleans Saints,13,3,.813,510,341,169,10.6
Atlanta Falcons,9,7,.563,363,325,38,2.4
Carolina Panthers,8,8,.500,315,308,7,0.4
Tampa Bay Buccaneers,3,13,.188,244,400,-156,-9.8
Arizona Cardinals,10,6,.625,375,325,50,3.1
San Francisco 49ers,8,8,.500,330,281,49,3.1
Seattle Seahawks,5,11,.313,280,390,-110,-6.9
St. Louis Rams,1,15,.063,175,436,-261,-16.3
