,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Jacksonville Jaguars,16,43,36,83.7%,46,46,100.0%
2,Kansas City Chiefs,16,38,32,84.2%,47,47,100.0%
3,Arizona Cardinals,16,35,25,71.4%,38,38,100.0%
4,New York Jets,16,31,22,71.0%,43,43,100.0%
5,Philadelphia Eagles,16,29,27,93.1%,52,51,98.1%
6,St. Louis Rams,16,37,30,81.1%,36,36,100.0%
7,Miami Dolphins,16,40,31,77.5%,30,30,100.0%
8,Oakland Raiders,16,37,31,83.8%,50,50,100.0%
9,Cleveland Browns,16,24,20,83.3%,42,42,100.0%
10,Buffalo Bills,16,28,21,75.0%,51,50,98.0%
11,Pittsburgh Steelers,16,33,28,84.8%,31,30,96.8%
12,Carolina Panthers,16,37,35,94.6%,32,32,100.0%
13,San Diego Chargers,16,21,19,90.5%,39,39,100.0%
14,Tennessee Titans,16,31,29,93.5%,52,52,100.0%
15,Dallas Cowboys,16,33,29,87.9%,44,43,97.7%
16,Indianapolis Colts,16,41,32,78.0%,39,39,100.0%
17,Tampa Bay Buccaneers,16,28,19,67.9%,45,45,100.0%
18,Chicago Bears,16,27,23,85.2%,26,26,100.0%
19,Minnesota Vikings,16,30,25,83.3%,35,33,94.3%
20,Detroit Lions,16,41,31,75.6%,46,46,100.0%
21,Baltimore Ravens,16,39,37,94.9%,31,31,100.0%
22,Seattle Seahawks,16,25,23,92.0%,24,24,100.0%
23,Cincinnati Bengals,16,32,27,84.4%,33,33,100.0%
24,New Orleans Saints,16,33,27,81.8%,53,53,100.0%
25,Washington Redskins,16,30,28,93.3%,36,36,100.0%
26,Atlanta Falcons,16,32,27,84.4%,30,30,100.0%
27,Houston Texans,16,24,21,87.5%,38,38,100.0%
28,Green Bay Packers,16,30,26,86.7%,34,34,100.0%
29,New York Giants,16,30,26,86.7%,38,38,100.0%
30,San Francisco 49ers,16,27,22,81.5%,27,27,100.0%
31,Denver Broncos,16,25,22,88.0%,29,29,100.0%
32,New England Patriots,16,25,21,84.0%,38,38,100.0%
,Avg Team,,31.8,26.6,83.9%,38.6,38.4,99.5%
,League Total,,1016,852,83.9%,1235,1229,99.5%
,Avg Tm/G,,2.0,1.7,83.9%,2.4,2.4,99.5%
