Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
New England Patriots,12,4,.750,465,315,150,9.4
New York Jets,10,6,.625,387,314,73,4.6
Buffalo Bills,8,8,.500,379,359,20,1.3
Miami Dolphins,6,10,.375,310,389,-79,-4.9
Cincinnati Bengals,12,4,.750,419,279,140,8.8
Pittsburgh Steelers,10,6,.625,423,319,104,6.5
Baltimore Ravens,5,11,.313,328,401,-73,-4.6
Cleveland Browns,3,13,.188,278,432,-154,-9.6
Houston Texans,9,7,.563,339,313,26,1.6
Indianapolis Colts,8,8,.500,333,408,-75,-4.7
Jacksonville Jaguars,5,11,.313,376,448,-72,-4.5
Tennessee Titans,3,13,.188,299,423,-124,-7.8
Denver Broncos,12,4,.750,355,296,59,3.7
Kansas City Chiefs,11,5,.688,405,287,118,7.4
Oakland Raiders,7,9,.438,359,399,-40,-2.5
San Diego Chargers,4,12,.250,320,398,-78,-4.9
