Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
Buffalo Bills*,11,6,0,.647,483,289,194,11.4
New England Patriots+,10,7,0,.588,462,303,159,9.4
Miami Dolphins,9,8,0,.529,341,373,-32,-1.9
New York Jets,4,13,0,.235,310,504,-194,-11.4
Cincinnati Bengals*,10,7,0,.588,460,376,84,4.9
Pittsburgh Steelers+,9,7,1,.559,343,398,-55,-3.2
Cleveland Browns,8,9,0,.471,349,371,-22,-1.3
Baltimore Ravens,8,9,0,.471,387,392,-5,-0.3
Tennessee Titans*,12,5,0,.706,419,354,65,3.8
Indianapolis Colts,9,8,0,.529,451,365,86,5.1
Houston Texans,4,13,0,.235,280,452,-172,-10.1
Jacksonville Jaguars,3,14,0,.176,253,457,-204,-12.0
Kansas City Chiefs*,12,5,0,.706,480,364,116,6.8
Las Vegas Raiders+,10,7,0,.588,374,439,-65,-3.8
Los Angeles Chargers,9,8,0,.529,474,459,15,0.9
Denver Broncos,7,10,0,.412,335,322,13,0.8
