Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
Philadelphia Eagles,14,3,0,.824,477,344,133,7.8
Dallas Cowboys,12,5,0,.706,467,342,125,7.4
New York Giants,9,7,1,.559,365,371,-6,-0.4
Washington Commanders,8,8,1,.500,321,343,-22,-1.3
Minnesota Vikings,13,4,0,.765,424,427,-3,-0.2
Detroit Lions,9,8,0,.529,453,427,26,1.5
Green Bay Packers,8,9,0,.471,370,371,-1,-0.1
Chicago Bears,3,14,0,.176,326,463,-137,-8.1
Tampa Bay Buccaneers,8,9,0,.471,313,358,-45,-2.6
Carolina Panthers,7,10,0,.412,347,374,-27,-1.6
New Orleans Saints,7,10,0,.412,330,345,-15,-0.9
Atlanta Falcons,7,10,0,.412,365,386,-21,-1.2
San Francisco 49ers,13,4,0,.765,450,277,173,10.2
Seattle Seahawks,9,8,0,.529,407,401,6,0.4
Los Angeles Rams,5,12,0,.294,307,384,-77,-4.5
Arizona Cardinals,4,13,0,.235,340,449,-109,-6.4
