Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
New York Jets,9,7,0,.563,359,336,23,1.4
New England Patriots,9,7,0,.563,381,346,35,2.2
Miami Dolphins,9,7,0,.563,378,301,77,4.8
Buffalo Bills,8,8,0,.500,379,397,-18,-1.1
Pittsburgh Steelers,10,5,1,.656,390,345,45,2.8
Cleveland Browns,9,7,0,.563,344,320,24,1.5
Baltimore Ravens,7,9,0,.438,316,354,-38,-2.4
Cincinnati Bengals,2,14,0,.125,279,456,-177,-11.1
Tennessee Titans,11,5,0,.688,367,324,43,2.7
Indianapolis Colts,10,6,0,.625,349,313,36,2.3
Jacksonville Jaguars,6,10,0,.375,328,315,13,0.8
Houston Texans,4,12,0,.250,213,356,-143,-8.9
Oakland Raiders,11,5,0,.688,450,304,146,9.1
Denver Broncos,9,7,0,.563,392,344,48,3.0
San Diego Chargers,8,8,0,.500,333,367,-34,-2.1
Kansas City Chiefs,8,8,0,.500,467,399,68,4.3
