Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
New England Patriots,10,6,.625,379,338,41,2.6
Miami Dolphins,9,7,.563,318,317,1,0.1
Buffalo Bills,5,11,.313,271,367,-96,-6.0
New York Jets,4,12,.250,240,355,-115,-7.2
Cincinnati Bengals,11,5,.688,421,350,71,4.4
Pittsburgh Steelers,11,5,.688,389,258,131,8.2
Baltimore Ravens,6,10,.375,265,299,-34,-2.1
Cleveland Browns,6,10,.375,232,301,-69,-4.3
Indianapolis Colts,14,2,.875,439,247,192,12.0
Jacksonville Jaguars,12,4,.750,361,269,92,5.8
Tennessee Titans,4,12,.250,299,421,-122,-7.6
Houston Texans,2,14,.125,260,431,-171,-10.7
Denver Broncos,13,3,.813,395,258,137,8.6
Kansas City Chiefs,10,6,.625,403,325,78,4.9
San Diego Chargers,9,7,.563,418,312,106,6.6
Oakland Raiders,4,12,.250,290,383,-93,-5.8
