,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,New York Jets,16,219,69,31.5%,19,7,36.8%,33,14,42.4%
2,Minnesota Vikings,16,200,69,34.5%,12,5,41.7%,40,18,45.0%
3,Miami Dolphins,16,198,69,34.8%,15,8,53.3%,51,24,47.1%
4,Carolina Panthers,16,197,70,35.5%,17,9,52.9%,50,25,50.0%
5,Dallas Cowboys,16,200,70,35.0%,12,6,50.0%,32,18,56.3%
6,New England Patriots,16,194,72,37.1%,21,10,47.6%,40,22,55.0%
7,Philadelphia Eagles,16,221,73,33.0%,30,17,56.7%,51,29,56.9%
8,Green Bay Packers,16,211,76,36.0%,25,10,40.0%,46,28,60.9%
9,New York Giants,16,199,77,38.7%,19,12,63.2%,62,42,67.7%
10,Oakland Raiders,16,216,77,35.6%,14,9,64.3%,65,31,47.7%
11,Houston Texans,16,201,79,39.3%,21,9,42.9%,37,24,64.9%
12,Baltimore Ravens,16,218,80,36.7%,17,7,41.2%,43,18,41.9%
13,Denver Broncos,16,218,81,37.2%,16,8,50.0%,48,24,50.0%
14,Cincinnati Bengals,16,210,81,38.6%,15,7,46.7%,40,19,47.5%
15,Arizona Cardinals,16,232,82,35.3%,24,12,50.0%,47,22,46.8%
16,San Diego Chargers,16,203,82,40.4%,20,10,50.0%,55,29,52.7%
17,New Orleans Saints,16,216,82,38.0%,24,11,45.8%,56,22,39.3%
18,Detroit Lions,16,210,85,40.5%,15,10,66.7%,71,37,52.1%
19,Kansas City Chiefs,16,223,85,38.1%,11,6,54.5%,53,30,56.6%
20,Cleveland Browns,16,221,86,38.9%,20,10,50.0%,57,25,43.9%
21,Tampa Bay Buccaneers,16,214,86,40.2%,15,9,60.0%,50,25,50.0%
22,Washington Redskins,16,219,87,39.7%,17,4,23.5%,41,16,39.0%
23,Seattle Seahawks,16,223,87,39.0%,12,6,50.0%,55,31,56.4%
24,San Francisco 49ers,16,240,88,36.7%,15,6,40.0%,47,19,40.4%
25,Tennessee Titans,16,218,89,40.8%,17,12,70.6%,56,33,58.9%
26,St. Louis Rams,16,209,91,43.5%,12,6,50.0%,59,36,61.0%
27,Chicago Bears,16,226,93,41.2%,13,6,46.2%,56,37,66.1%
28,Jacksonville Jaguars,16,209,94,45.0%,17,12,70.6%,52,29,55.8%
29,Pittsburgh Steelers,16,227,96,42.3%,10,7,70.0%,42,19,45.2%
30,Buffalo Bills,16,240,97,40.4%,26,14,53.8%,50,27,54.0%
31,Atlanta Falcons,16,214,97,45.3%,17,8,47.1%,51,26,51.0%
32,Indianapolis Colts,16,231,104,45.0%,19,6,31.6%,51,25,49.0%
,League Total,,,,,,,,,,
