,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Green Bay Packers,16,62,2691,43.4,0
2,New Orleans Saints,16,63,2783,44.2,0
3,Dallas Cowboys,16,67,3007,44.9,0
4,Miami Dolphins,16,61,2593,42.5,0
5,Baltimore Ravens,16,76,3489,45.9,0
6,Pittsburgh Steelers,16,68,3078,45.3,0
7,Seattle Seahawks,16,83,3630,43.7,0
8,Atlanta Falcons,16,56,2413,43.1,0
9,Detroit Lions,16,82,3583,43.7,0
10,New England Patriots,16,65,2847,43.8,0
11,Denver Broncos,16,88,4035,45.9,0
12,Indianapolis Colts,16,90,4271,47.5,0
13,Kansas City Chiefs,16,78,3700,47.4,0
14,Cincinnati Bengals,16,75,3274,43.7,0
15,Chicago Bears,16,49,2109,43.0,0
16,San Francisco 49ers,16,74,3362,45.4,0
17,Carolina Panthers,16,72,3297,45.8,0
18,San Diego Chargers,16,69,3210,46.5,0
19,Philadelphia Eagles,16,91,3984,43.8,0
20,Minnesota Vikings,16,76,3292,43.3,0
21,Washington Redskins,16,80,3522,44.0,0
22,New York Jets,16,81,3757,46.4,0
23,Tampa Bay Buccaneers,16,64,2826,44.2,0
24,New York Giants,16,75,3416,45.5,0
25,St. Louis Rams,16,76,3268,43.0,0
26,Houston Texans,16,83,3742,45.1,0
27,Buffalo Bills,16,88,3834,43.6,0
28,Tennessee Titans,16,73,3356,46.0,0
29,Cleveland Browns,16,86,3790,44.1,0
30,Arizona Cardinals,16,78,3544,45.4,0
31,Jacksonville Jaguars,16,75,3559,47.5,0
32,Oakland Raiders,16,83,3634,43.8,0
,Avg Team,,74.6,3340.5,44.8,0.7
,League Total,,2387,106896,44.8,23
,Avg Tm/G,,4.7,208.8,44.8,0.0
