,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Cleveland Browns,16,29,25,86.2%,44,41,93.2%
2,New York Giants,16,36,28,77.8%,43,40,93.0%
3,Chicago Bears,16,32,29,90.6%,32,31,96.9%
4,Miami Dolphins,16,35,27,77.1%,42,42,100.0%
5,Cincinnati Bengals,16,40,35,87.5%,35,34,97.1%
6,Green Bay Packers,16,33,30,90.9%,40,38,95.0%
7,Oakland Raiders,16,40,34,85.0%,37,35,94.6%
8,Indianapolis Colts,16,37,31,83.8%,38,37,97.4%
9,Denver Broncos,16,27,24,88.9%,44,42,95.5%
10,New York Jets,16,29,21,72.4%,41,39,95.1%
11,Houston Texans,16,35,33,94.3%,46,45,97.8%
12,Buffalo Bills,16,35,32,91.4%,36,35,97.2%
13,Tampa Bay Buccaneers,16,30,26,86.7%,42,40,95.2%
14,Arizona Cardinals,16,29,26,89.7%,34,33,97.1%
15,Washington Redskins,16,41,34,82.9%,34,32,94.1%
16,Seattle Seahawks,16,35,31,88.6%,33,31,93.9%
17,Carolina Panthers,16,34,29,85.3%,32,32,100.0%
18,Dallas Cowboys,16,25,19,76.0%,35,29,82.9%
19,San Francisco 49ers,16,35,31,88.6%,37,30,81.1%
20,Los Angeles Chargers,16,27,23,85.2%,26,23,88.5%
21,Atlanta Falcons,16,33,28,84.8%,31,31,100.0%
22,Tennessee Titans,16,41,37,90.2%,34,29,85.3%
23,Jacksonville Jaguars,16,24,22,91.7%,28,26,92.9%
24,Detroit Lions,16,29,23,79.3%,42,41,97.6%
25,Baltimore Ravens,16,33,28,84.8%,30,27,90.0%
26,Minnesota Vikings,16,30,27,90.0%,22,21,95.5%
27,Pittsburgh Steelers,16,24,20,83.3%,31,28,90.3%
28,Philadelphia Eagles,16,26,20,76.9%,33,31,93.9%
29,Kansas City Chiefs,16,27,22,81.5%,33,31,93.9%
30,New Orleans Saints,16,31,26,83.9%,33,30,90.9%
31,New England Patriots,16,31,22,71.0%,31,30,96.8%
32,Los Angeles Rams,16,34,23,67.6%,35,32,91.4%
,Avg Team,,32.1,27.1,84.3%,35.4,33.3,94.0%
,League Total,,1027,866,84.3%,1134,1066,94.0%
,Avg Tm/G,,2.0,1.7,84.3%,2.2,2.1,94.0%
