,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Los Angeles Chargers,16,48,319,0,6.6,46,1150,0,25.0
2,Arizona Cardinals,16,48,506,0,10.5,40,880,1,22.0
3,Seattle Seahawks,16,45,452,0,10.0,39,790,0,20.3
4,Chicago Bears,16,49,512,1,10.4,32,699,1,21.8
5,New England Patriots,16,23,105,0,4.6,58,1095,0,18.9
6,Cincinnati Bengals,16,43,410,1,9.5,35,811,0,23.2
7,Houston Texans,16,49,604,1,12.3,27,547,0,20.3
8,New York Giants,16,43,448,1,10.4,32,656,0,20.5
9,Tampa Bay Buccaneers,16,27,153,0,5.7,47,1160,2,24.7
10,Philadelphia Eagles,16,25,171,0,6.8,47,1015,0,21.6
11,Tennessee Titans,16,40,286,0,7.2,32,750,0,23.4
12,New York Jets,16,49,491,1,10.0,23,459,0,20.0
13,Jacksonville Jaguars,16,30,228,0,7.6,40,817,1,20.4
14,Buffalo Bills,16,38,210,0,5.5,31,681,0,22.0
15,Minnesota Vikings,16,24,213,1,8.9,45,1023,0,22.7
16,Miami Dolphins,16,35,220,0,6.3,34,665,0,19.6
17,Detroit Lions,16,26,198,0,7.6,43,878,0,20.4
18,Baltimore Ravens,16,34,277,0,8.1,33,615,0,18.6
19,Pittsburgh Steelers,16,23,177,0,7.7,43,906,0,21.1
20,Cleveland Browns,16,45,482,0,10.7,20,471,1,23.6
21,Washington Redskins,16,39,435,1,11.2,24,448,0,18.7
22,Green Bay Packers,16,29,164,0,5.7,30,665,0,22.2
23,New Orleans Saints,16,24,249,1,10.4,32,788,0,24.6
24,Atlanta Falcons,16,22,179,0,8.1,33,863,0,26.2
25,Dallas Cowboys,16,18,75,0,4.2,35,759,0,21.7
26,Denver Broncos,16,30,258,1,8.6,22,497,1,22.6
27,Kansas City Chiefs,16,24,164,0,6.8,25,486,0,19.4
28,Los Angeles Rams,16,25,152,0,6.1,23,520,0,22.6
29,San Francisco 49ers,16,33,138,1,4.2,15,302,0,20.1
30,Oakland Raiders,16,32,205,0,6.4,15,298,0,19.9
31,Indianapolis Colts,16,19,80,0,4.2,23,441,0,19.2
32,Carolina Panthers,16,30,176,0,5.9,12,254,0,21.2
,Avg Team,,33.4,273.0,0.3,8.2,32.4,699.7,0.2,21.6
,League Total,,1069,8737,10,8.2,1036,22389,7,21.6
,Avg Tm/G,,2.1,17.1,0.0,8.2,2.0,43.7,0.0,21.6
