Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
Dallas Cowboys,10,6,0,.625,339,324,15,0.9
Philadelphia Eagles,9,7,0,.563,367,348,19,1.2
Washington Redskins,7,9,0,.438,281,359,-78,-4.9
New York Giants,5,11,0,.313,369,412,-43,-2.7
Chicago Bears,12,4,0,.750,421,283,138,8.6
Minnesota Vikings,8,7,1,.531,360,341,19,1.2
Green Bay Packers,6,9,1,.406,376,400,-24,-1.5
Detroit Lions,6,10,0,.375,324,360,-36,-2.3
New Orleans Saints,13,3,0,.813,504,353,151,9.4
Atlanta Falcons,7,9,0,.438,414,423,-9,-0.6
Carolina Panthers,7,9,0,.438,376,382,-6,-0.4
Tampa Bay Buccaneers,5,11,0,.313,396,464,-68,-4.3
Los Angeles Rams,13,3,0,.813,527,384,143,8.9
Seattle Seahawks,10,6,0,.625,428,347,81,5.1
San Francisco 49ers,4,12,0,.250,342,435,-93,-5.8
Arizona Cardinals,3,13,0,.188,225,425,-200,-12.5
